page_url,locale,element_type,image_url,filename,alt_text,is_empty_alt,is_missing_alt,alt_quality_flags,context_hint,is_site_asset
http://localhost:3200/ai-video-engines/best-for,en,svg,http://localhost:3200/assets/branding/logo-mark.svg,logo-mark.svg,MaxVideoAI,false,false,duplicated,,false
http://localhost:3200/ai-video-engines/best-for,en,svg,http://localhost:3200/assets/branding/logo-mark.svg,logo-mark.svg,MaxVideoAI,false,false,duplicated,Best AI video engines by use case,false
http://localhost:3200/ai-video-engines/best-for,en,og:image,http://localhost:3000/og/price-before.png,price-before.png,,false,false,,,false
http://localhost:3200/about,en,svg,http://localhost:3200/assets/branding/logo-mark.svg,logo-mark.svg,MaxVideoAI,false,false,duplicated,,false
http://localhost:3200/about,en,svg,http://localhost:3200/assets/branding/logo-mark.svg,logo-mark.svg,MaxVideoAI,false,false,duplicated,Quiet confidence for AI video teams.,false
http://localhost:3200/about,en,og:image,http://localhost:3000/og/price-before.png,price-before.png,,false,false,,,false
http://localhost:3200/ai-video-engines,en,svg,http://localhost:3200/assets/branding/logo-mark.svg,logo-mark.svg,MaxVideoAI,false,false,duplicated,,false
http://localhost:3200/ai-video-engines,en,svg,http://localhost:3200/assets/branding/logo-mark.svg,logo-mark.svg,MaxVideoAI,false,false,duplicated,AI video engine comparison FAQ,false
http://localhost:3200/ai-video-engines,en,og:image,http://localhost:3000/og/price-before.png,price-before.png,,false,false,,,false
http://localhost:3200/,en,svg,http://localhost:3200/assets/branding/logo-mark.svg,logo-mark.svg,MaxVideoAI,false,false,duplicated,,false
http://localhost:3200/,en,next-image,http://localhost:3200/_next/image?url=https%3A%2F%2Fvideohub-uploads-us.s3.amazonaws.com%2Frenders%2F93276510-b6ed-4cea-b723-de28cd930785%2Fc523179e-c0db-4437-9316-110ce7ffa3d7-job_b92d266a-8cb2-4f2d-afeb-4489323b92eb.jpg&w=3840&q=72,image,"SORA 2 AI video example: Bella: Bella is small, delicate, with soft, expressive features that betray her...",false,false,,The right engine for every shot.,false
http://localhost:3200/,en,next-image,http://localhost:3200/_next/image?url=https%3A%2F%2Fvideohub-uploads-us.s3.amazonaws.com%2Frenders%2F301cc489-d689-477f-94c4-0b051deda0bc%2Fc323ad45-2210-46b3-a298-ff2c39d610f5-job_a3e088db-b1e2-430f-83b3-2efce518c282.jpg&w=3840&q=72,image,VEO 3.1 AI video example: Cinematic 8-second TV commercial in 16:9 with sound. From a tiny FPV-style camer...,false,false,,The right engine for every shot.,false
http://localhost:3200/,en,next-image,http://localhost:3200/_next/image?url=https%3A%2F%2Fvideohub-uploads-us.s3.amazonaws.com%2Frenders%2F301cc489-d689-477f-94c4-0b051deda0bc%2Fb7d626e9-6ff4-406c-94b6-c568c5c36ddc-job_bbad258b-fdd3-4315-95eb-4ed1d2e59382.jpg&w=3840&q=72,image,"WAN 2.6 AI video example: Global look: elegant thriller, rainy night, soft neon, 35mm, fine film grain, ci...",false,false,,The right engine for every shot.,false
http://localhost:3200/,en,next-image,http://localhost:3200/_next/image?url=https%3A%2F%2Fvideohub-uploads-us.s3.amazonaws.com%2Frenders%2F301cc489-d689-477f-94c4-0b051deda0bc%2Fd977f5ea-d497-454f-8a7f-b770536cb98e-job_004c625e-0e9b-43db-b443-8fcc9e8963e2.jpg&w=3840&q=72,image,Kling 2.6 pro AI video example: 8 - 10 second 16:9 cinematic shot set during World War I. Two young soldiers in wo...,false,false,,The right engine for every shot.,false
http://localhost:3200/,en,next-image,http://localhost:3200/_next/image?url=%2Fassets%2Fmarketing%2Fapp-dashboard.webp&w=3840&q=75,image,"MaxVideoAI interface: MaxVideo AI workspace showing the composer, live price chip, and gallery preview in a single dashboard.",false,false,,Every control in one view.,false
http://localhost:3200/,en,next-image,http://localhost:3200/_next/image?url=%2Fassets%2Fmarketing%2Fvs-kling-sora-scorecard.png%3Fv%3D3&w=3840&q=75,image,MaxVideoAI interface: MaxVideoAI comparison page screenshot showing two AI engines side by side.,false,false,,Compare AI video models - before you render,false
http://localhost:3200/,en,img,https://media.theresanaiforthat.com/featured-on-taaft.png?width=600,featured-on-taaft.png,Featured on There's An AI For That,false,false,duplicated,Featured on,false
http://localhost:3200/,en,img,https://startupfa.me/badges/featured-badge-small.webp,featured-badge-small.webp,MaxVideoAI - Featured on Startup Fame,false,false,duplicated,Featured on,false
http://localhost:3200/,en,svg,http://localhost:3200/assets/branding/logo-mark.svg,logo-mark.svg,MaxVideoAI,false,false,duplicated,AI video generator FAQ,false
http://localhost:3200/,en,og:image,http://localhost:3000/og/price-before.png,price-before.png,,false,false,,,false
http://localhost:3200/ai-video-engines/kling-2-5-turbo-vs-ltx-2,en,svg,http://localhost:3200/assets/branding/logo-mark.svg,logo-mark.svg,MaxVideoAI,false,false,duplicated,,false
http://localhost:3200/ai-video-engines/kling-2-5-turbo-vs-ltx-2,en,svg,http://localhost:3200/assets/branding/logo-mark.svg,logo-mark.svg,MaxVideoAI,false,false,duplicated,FAQ,false
http://localhost:3200/ai-video-engines/kling-2-5-turbo-vs-ltx-2,en,video-poster,https://videohub-uploads-us.s3.amazonaws.com/renders/301cc489-d689-477f-94c4-0b051deda0bc/28c5c853-d1b2-457b-b7d6-b10367b4b853-job_ae3eb8d1-7e4e-4977-bd1f-cf797f189902.jpg,28c5c853-d1b2-457b-b7d6-b10367b4b853-job_ae3eb8d1-7e4e-4977-bd1f-cf797f189902.jpg,Comparison: Kling 2.5 Turbo vs LTX Video 2.0 Pro - Fast Motion + Physics (16:9) - Kling 2.5 Turbo,false,false,,Showdown (same prompt),false
http://localhost:3200/ai-video-engines/kling-2-5-turbo-vs-ltx-2,en,video-poster,https://videohub-uploads-us.s3.amazonaws.com/renders/301cc489-d689-477f-94c4-0b051deda0bc/660ff250-3bc5-423a-b20a-97cc17f1e1c2-job_a8b82fc8-03af-49b8-99d4-186f497eb358.jpg,660ff250-3bc5-423a-b20a-97cc17f1e1c2-job_a8b82fc8-03af-49b8-99d4-186f497eb358.jpg,Comparison: LTX Video 2.0 Pro vs Kling 2.5 Turbo - Fast Motion + Physics (16:9) - LTX Video 2.0 Pro,false,false,,Showdown (same prompt),false
http://localhost:3200/ai-video-engines/kling-2-5-turbo-vs-ltx-2,en,video-poster,https://videohub-uploads-us.s3.amazonaws.com/renders/301cc489-d689-477f-94c4-0b051deda0bc/6e0f3f48-6a01-44f1-b30f-a62c43a4d009-job_1dbd7203-3503-49e7-9a69-c51fe7224688.jpg,6e0f3f48-6a01-44f1-b30f-a62c43a4d009-job_1dbd7203-3503-49e7-9a69-c51fe7224688.jpg,Comparison: Kling 2.5 Turbo vs LTX Video 2.0 Pro - UGC Talking Head + Lip Sync (9:16) - Kling 2.5 Turbo,false,false,,Showdown (same prompt),false
